text,intent
भाई कितने बजे हैं,time
Are you a bot,identity
कौन सा दिन है भाई,date
टाइम प्लीज भाई,time
अभी कितनी गर्मी है,sensor
आराम करो,exit
गुणा करना 18 5,math
बंद हो जा दोस्त,exit
36 को 4 से भाग दो,math
जोड़ो 14 86,math
आपका नाम क्या है प्लीज,identity
Kya aaj garmi hai,sensor
इनका योग 43 57,math
सो जाओ,exit
घड़ी में क्या समय है भाई,time
4 इंटू 5,math
सुनना बंद करो भाई,exit
स्टॉप,exit
राम राम,greeting
10 माइनस 5 कितना है,math
अपने बारे में बताओ,identity
आज का तापमान,sensor
temperature reading,sensor
तुम्हारा नाम क्या है जी,identity
बाय दोस्त,exit
गुणा कर बताओ 21 65,math
तुम रोबोट हो या इंसान,identity
10 4 कम करो,math
राधे राधे मास्टर,greeting
कैसे हैं आप,greeting
टाइमर लगाओ 41 मिनट का,time
सब ठीक है,greeting
अलार्म लगाओ 2 बजे,time
आज कितनी तारीख है प्लीज,date
Humidity level batao,sensor
घटाना 88 से 29,math
भाई अभी कितना बजा है भाई,time
ओ भाई दोस्त,greeting
राम राम जी मास्टर,greeting
83 58 गुणा,math
घटाकर बताओ 85 35,math
तुम कौन हो,identity
77 से 27 घटाओ,math
गुणा बताओ 18 4,math
जोड़ कर बताओ 24 76,math
81 डिवाइड 9,math
भाई टाइम प्लीज प्लीज,time
क्या तुम इंसान हो प्लीज,identity
जोड़ना है 7 1,math
साल कौन सा है,date
92 से 42 घटाओ,math
28 और 72 जोड़ो,math
अब बस,exit
3 को 99 से भाग दो,math
56 से 6 निकालो,math
जोड़ो 37 63,math
कैसन बा सर,greeting
आज क्या तारीख है,date
क्या तुम रोबोट हो,identity
भाग कर बताओ 28 45,math
गुणा कर बताओ 78 84,math
वक्त क्या हुआ है प्लीज,time
कैलेंडर बताओ भाई,date
भाई घड़ी में क्या समय है जल्दी,time
घटाकर बताओ 8 2,math
सुनिये मास्टर,greeting
तुम क्या कर सकते हो जी,identity
घड़ी देख कर बताओ भाई,time
भाग कर बताओ 9 3,math
शुभ दोपहर सर,greeting
वीकेंड कब है,date
91 से 41 घटाओ,math
Tell me date,date
भाग करना है 12 3,math
28 प्लस 72,math
अपना नाम बताओ,identity
समय क्या हुआ है प्लीज,time
भाग कर बताओ 29 96,math
सुनो,greeting
आदाब सर,greeting
96 को 8 से भाग,math
तिथि क्या है,date
4 में 5 जोड़ो,math
45 डिवाइड 9,math
इनको घटाओ 96 44,math
परिचय दो जी,identity
भाई क्या समय हो रहा है,time
हेलो जी जी,greeting
भाग दो 48 6,math
गुणा करो 3 और 30,math
7 का 95 से गुणा,math
नमस्ते जी दोस्त,greeting
भाग करो,math
Date check karo,date
Aaj ki tithi,date
इनको गुणा करो 2 8,math
exit,exit
21 और 92 का जोड़,math
40 डिवाइड 5,math
हेलो,greeting
Konsa saal chal raha hai,date
3 और 4 गुणा करो,math
गुणा बताओ 21 3,math
64 डिवाइड 8,math
तापमान क्या है,sensor
इनको घटाओ 94 90,math
Garmi lag rahi hai temperature check karo,sensor
शुभ रात्रि दोस्त,exit
गुड इवनिंग,greeting
Who is your creator,identity
आज की डेट क्या है प्लीज,date
कौन सा महीना चल रहा है,date
बाद में आना,exit
कमरे का मौसम कैसा है,sensor
चलता हूँ भाई,exit
केम छो दोस्त,greeting
सेंसर की रीडिंग क्या है,sensor
बंद करो भाई,exit
भाई अभी कितना बजा है,time
क्या हाल है मास्टर,greeting
80 को 10 से भाग दो,math
भाग निकालो 64 8,math
